Dapma7bEVm000001	DAPPUDRAFT_43826
Dapma7bEVm000166	DAPPUDRAFT_312034
Dapma7bEVm000167	DAPPUDRAFT_224701
Dapma7bEVm000168	DAPPUDRAFT_346995
Dapma7bEVm000169	DAPPUDRAFT_210964
Dapma7bEVm000170	DAPPUDRAFT_234539
Dapma7bEVm000171	DAPPUDRAFT_321858
Dapma7bEVm000172	DAPPUDRAFT_95700
Dapma7bEVm000173	DAPPUDRAFT_315831
Dapma7bEVm000174	DAPPUDRAFT_115736;DAPPUDRAFT_196131;DAPPUDRAFT_203789;DAPPUDRAFT_203795;DAPPUDRAFT_203797;DAPPUDRAFT_218787;DAPPUDRAFT_243400;DAPPUDRAFT_302210;DAPPUDRAFT_302859;DAPPUDRAFT_304409;DAPPUDRAFT_317254;DAPPUDRAFT_329565;DAPPUDRAFT_331359;DAPPUDRAFT_61964
Dapma7bEVm000175	DAPPUDRAFT_309380
Dapma7bEVm000176	DAPPUDRAFT_313160
Dapma7bEVm000177	DAPPUDRAFT_42230
Dapma7bEVm000178	DAPPUDRAFT_234144
Dapma7bEVm000179	DAPPUDRAFT_326714
Dapma7bEVm000180	
Dapma7bEVm000181	DAPPUDRAFT_303199
Dapma7bEVm000182	DAPPUDRAFT_305068
Dapma7bEVm000183	DAPPUDRAFT_314695;DAPPUDRAFT_99512
Dapma7bEVm000184	DAPPUDRAFT_300974
Dapma7bEVm000185	DAPPUDRAFT_192459
Dapma7bEVm000186	DAPPUDRAFT_103117;DAPPUDRAFT_196694;DAPPUDRAFT_208848;DAPPUDRAFT_237802;DAPPUDRAFT_240144;DAPPUDRAFT_301951;DAPPUDRAFT_306180;DAPPUDRAFT_313822;DAPPUDRAFT_313823;DAPPUDRAFT_313999;DAPPUDRAFT_314000;DAPPUDRAFT_315845;DAPPUDRAFT_315852;DAPPUDRAFT_3267;DAPPUDRAFT_45680;DAPPUDRAFT_48106;DAPPUDRAFT_48215;DAPPUDRAFT_60562;DAPPUDRAFT_60588;DAPPUDRAFT_60845
Dapma7bEVm000187	DAPPUDRAFT_11662
Dapma7bEVm000188	DAPPUDRAFT_314702;DAPPUDRAFT_315707;DAPPUDRAFT_347377;DAPPUDRAFT_347380;DAPPUDRAFT_347409;DAPPUDRAFT_347412;DAPPUDRAFT_347524
Dapma7bEVm000190	DAPPUDRAFT_101206;DAPPUDRAFT_220035;DAPPUDRAFT_309875;DAPPUDRAFT_337961
Dapma7bEVm000191	DAPPUDRAFT_312758
Dapma7bEVm000192	DAPPUDRAFT_98778
Dapma7bEVm000193	DAPPUDRAFT_22032;DAPPUDRAFT_306527;DAPPUDRAFT_312019;DAPPUDRAFT_96692
Dapma7bEVm000194	DAPPUDRAFT_311578;DAPPUDRAFT_42388
Dapma7bEVm000195	DAPPUDRAFT_128904;DAPPUDRAFT_213117;DAPPUDRAFT_213935
Dapma7bEVm000196	
Dapma7bEVm000197	DAPPUDRAFT_107786;DAPPUDRAFT_127351;DAPPUDRAFT_188210;DAPPUDRAFT_244718;DAPPUDRAFT_244721;DAPPUDRAFT_256105;DAPPUDRAFT_26576;DAPPUDRAFT_299571;DAPPUDRAFT_304142;DAPPUDRAFT_304284;DAPPUDRAFT_312683;DAPPUDRAFT_318664;DAPPUDRAFT_320716;DAPPUDRAFT_323225;DAPPUDRAFT_323226;DAPPUDRAFT_55871
Dapma7bEVm000198	DAPPUDRAFT_313432
Dapma7bEVm000200	DAPPUDRAFT_325071
Dapma7bEVm000201	DAPPUDRAFT_195659;DAPPUDRAFT_215874;DAPPUDRAFT_223905;DAPPUDRAFT_302564;DAPPUDRAFT_316896;DAPPUDRAFT_33543;DAPPUDRAFT_49162;DAPPUDRAFT_49170;DAPPUDRAFT_49241
Dapma7bEVm000202	DAPPUDRAFT_189289
Dapma7bEVm000203	DAPPUDRAFT_314205
Dapma7bEVm000204	
Dapma7bEVm000205	DAPPUDRAFT_233379
Dapma7bEVm000206	DAPPUDRAFT_222043
Dapma7bEVm000207	DAPPUDRAFT_303360;DAPPUDRAFT_39648
Dapma7bEVm000208	DAPPUDRAFT_327174;DAPPUDRAFT_8259
Dapma7bEVm000209	DAPPUDRAFT_206426
Dapma7bEVm000210	DAPPUDRAFT_314399
Dapma7bEVm000211	DAPPUDRAFT_330564
Dapma7bEVm000212	DAPPUDRAFT_327607
Dapma7bEVm000213	DAPPUDRAFT_106274;DAPPUDRAFT_328339
Dapma7bEVm000214	DAPPUDRAFT_49564
Dapma7bEVm000215	DAPPUDRAFT_47227;DAPPUDRAFT_47503
Dapma7bEVm000216	DAPPUDRAFT_234231
Dapma7bEVm000217	DAPPUDRAFT_274784;DAPPUDRAFT_308061;DAPPUDRAFT_35494;DAPPUDRAFT_54578
Dapma7bEVm000218	
Dapma7bEVm000219	DAPPUDRAFT_259237
Dapma7bEVm000220	DAPPUDRAFT_203293;DAPPUDRAFT_252082;DAPPUDRAFT_307471;DAPPUDRAFT_319556;DAPPUDRAFT_319627;DAPPUDRAFT_319643;DAPPUDRAFT_324595;DAPPUDRAFT_324602;DAPPUDRAFT_324603;DAPPUDRAFT_324617
Dapma7bEVm000221	DAPPUDRAFT_217307
Dapma7bEVm000222	DAPPUDRAFT_95014
Dapma7bEVm000223	DAPPUDRAFT_205279
Dapma7bEVm000224	DAPPUDRAFT_56427
Dapma7bEVm000225	DAPPUDRAFT_67441
Dapma7bEVm000226	
Dapma7bEVm000227	DAPPUDRAFT_300393
Dapma7bEVm000228	DAPPUDRAFT_254259
Dapma7bEVm000229	DAPPUDRAFT_220033
Dapma7bEVm000230	DAPPUDRAFT_224074
Dapma7bEVm000231	DAPPUDRAFT_61639
Dapma7bEVm000232	DAPPUDRAFT_59440
Dapma7bEVm000233	
Dapma7bEVm000234	DAPPUDRAFT_303500
Dapma7bEVm000235	DAPPUDRAFT_302120
Dapma7bEVm000236	DAPPUDRAFT_101032;DAPPUDRAFT_236137;DAPPUDRAFT_252196;DAPPUDRAFT_252199;DAPPUDRAFT_320534;DAPPUDRAFT_324600;DAPPUDRAFT_324999;DAPPUDRAFT_326474
Dapma7bEVm000237	
Dapma7bEVm000238	DAPPUDRAFT_203687;DAPPUDRAFT_218141;DAPPUDRAFT_307209;DAPPUDRAFT_316477;DAPPUDRAFT_316478;DAPPUDRAFT_328028;DAPPUDRAFT_336386
Dapma7bEVm000239	DAPPUDRAFT_318642
Dapma7bEVm000240	DAPPUDRAFT_194717
Dapma7bEVm000241	DAPPUDRAFT_347227
Dapma7bEVm000242	DAPPUDRAFT_323067
Dapma7bEVm000243	
Dapma7bEVm000244	DAPPUDRAFT_207632;DAPPUDRAFT_318381
Dapma7bEVm000245	DAPPUDRAFT_248374
Dapma7bEVm000246	DAPPUDRAFT_262096;DAPPUDRAFT_50325
Dapma7bEVm000247	DAPPUDRAFT_189897;DAPPUDRAFT_232075;DAPPUDRAFT_232076;DAPPUDRAFT_39671
Dapma7bEVm000248	
Dapma7bEVm000249	DAPPUDRAFT_309398;DAPPUDRAFT_309400
Dapma7bEVm000250	
Dapma7bEVm000251	DAPPUDRAFT_107786;DAPPUDRAFT_127351;DAPPUDRAFT_188210;DAPPUDRAFT_244718;DAPPUDRAFT_244721;DAPPUDRAFT_256105;DAPPUDRAFT_26576;DAPPUDRAFT_299571;DAPPUDRAFT_304142;DAPPUDRAFT_304284;DAPPUDRAFT_312683;DAPPUDRAFT_318664;DAPPUDRAFT_320716;DAPPUDRAFT_323225;DAPPUDRAFT_323226;DAPPUDRAFT_55871
Dapma7bEVm000252	
Dapma7bEVm000253	DAPPUDRAFT_195011;DAPPUDRAFT_223347;DAPPUDRAFT_239963;DAPPUDRAFT_303121;DAPPUDRAFT_315693
Dapma7bEVm000254	
Dapma7bEVm000255	DAPPUDRAFT_199988;DAPPUDRAFT_215008;DAPPUDRAFT_302630;DAPPUDRAFT_305145;DAPPUDRAFT_308684;DAPPUDRAFT_324371;DAPPUDRAFT_324374;DAPPUDRAFT_44209
Dapma7bEVm000256	DAPPUDRAFT_230572
Dapma7bEVm000257	DAPPUDRAFT_315175
Dapma7bEVm000258	DAPPUDRAFT_204649
Dapma7bEVm000259	DAPPUDRAFT_94612
Dapma7bEVm000260	DAPPUDRAFT_317030
Dapma7bEVm000261	DAPPUDRAFT_301406
Dapma7bEVm000262	DAPPUDRAFT_315775
Dapma7bEVm000263	
Dapma7bEVm000264	DAPPUDRAFT_40660
Dapma7bEVm000265	DAPPUDRAFT_326839
Dapma7bEVm000266	DAPPUDRAFT_240350
Dapma7bEVm000267	DAPPUDRAFT_100839;DAPPUDRAFT_264839;DAPPUDRAFT_268670
Dapma7bEVm000268	DAPPUDRAFT_302879
Dapma7bEVm000269	DAPPUDRAFT_306501
Dapma7bEVm000270	DAPPUDRAFT_197333
Dapma7bEVm000271	DAPPUDRAFT_222916
Dapma7bEVm000272	DAPPUDRAFT_225461
Dapma7bEVm000273	DAPPUDRAFT_232345
Dapma7bEVm000274	DAPPUDRAFT_222125
Dapma7bEVm000275	DAPPUDRAFT_226406
Dapma7bEVm000276	DAPPUDRAFT_32816;DAPPUDRAFT_330332
Dapma7bEVm000277	DAPPUDRAFT_47122
Dapma7bEVm000278	DAPPUDRAFT_324047
Dapma7bEVm000279	DAPPUDRAFT_57148
Dapma7bEVm000280	DAPPUDRAFT_258886;DAPPUDRAFT_94428
Dapma7bEVm000281	DAPPUDRAFT_207420;DAPPUDRAFT_252189;DAPPUDRAFT_315529;DAPPUDRAFT_324586;DAPPUDRAFT_324591;DAPPUDRAFT_337859
Dapma7bEVm000282	DAPPUDRAFT_310514
Dapma7bEVm000283	DAPPUDRAFT_197668
Dapma7bEVm000284	DAPPUDRAFT_220651
Dapma7bEVm000285	DAPPUDRAFT_222178
Dapma7bEVm000286	DAPPUDRAFT_309815
Dapma7bEVm000287	DAPPUDRAFT_317092
Dapma7bEVm000288	DAPPUDRAFT_115736;DAPPUDRAFT_196131;DAPPUDRAFT_203789;DAPPUDRAFT_203795;DAPPUDRAFT_203797;DAPPUDRAFT_218787;DAPPUDRAFT_243400;DAPPUDRAFT_302210;DAPPUDRAFT_302859;DAPPUDRAFT_304409;DAPPUDRAFT_317254;DAPPUDRAFT_329565;DAPPUDRAFT_331359;DAPPUDRAFT_61964
Dapma7bEVm000289	DAPPUDRAFT_313175
Dapma7bEVm000290	DAPPUDRAFT_187989
Dapma7bEVm000291	DAPPUDRAFT_207173
Dapma7bEVm000292	DAPPUDRAFT_307300
Dapma7bEVm000293	DAPPUDRAFT_187662
Dapma7bEVm000294	DAPPUDRAFT_319994
Dapma7bEVm000295	DAPPUDRAFT_44444
Dapma7bEVm000297	DAPPUDRAFT_305261
Dapma7bEVm000298	DAPPUDRAFT_116763
Dapma7bEVm000299	DAPPUDRAFT_309832
Dapma7bEVm000300	DAPPUDRAFT_311923
Dapma7bEVm000301	DAPPUDRAFT_347416
Dapma7bEVm000302	DAPPUDRAFT_302021
Dapma7bEVm000303	
Dapma7bEVm000304	DAPPUDRAFT_304502
Dapma7bEVm000305	DAPPUDRAFT_107963
Dapma7bEVm000306	DAPPUDRAFT_329474
Dapma7bEVm000307	DAPPUDRAFT_205172
Dapma7bEVm000308	DAPPUDRAFT_305909
Dapma7bEVm000309	
Dapma7bEVm000310	DAPPUDRAFT_228523
Dapma7bEVm000311	DAPPUDRAFT_206529
Dapma7bEVm000312	DAPPUDRAFT_227924
Dapma7bEVm000313	DAPPUDRAFT_315764
Dapma7bEVm000314	DAPPUDRAFT_304822;DAPPUDRAFT_306906
Dapma7bEVm000316	DAPPUDRAFT_218555
Dapma7bEVm000317	DAPPUDRAFT_118824;DAPPUDRAFT_232737;DAPPUDRAFT_246627;DAPPUDRAFT_320728;DAPPUDRAFT_320734;DAPPUDRAFT_97395;DAPPUDRAFT_97425
Dapma7bEVm000318	DAPPUDRAFT_306543
Dapma7bEVm000319	DAPPUDRAFT_304867
Dapma7bEVm000320	DAPPUDRAFT_243998;DAPPUDRAFT_314456;DAPPUDRAFT_318905
Dapma7bEVm000321	DAPPUDRAFT_221817
Dapma7bEVm000322	DAPPUDRAFT_309475;DAPPUDRAFT_317038
Dapma7bEVm000323	DAPPUDRAFT_62513
Dapma7bEVm000324	DAPPUDRAFT_347694;DAPPUDRAFT_347695;DAPPUDRAFT_347697;DAPPUDRAFT_347698;DAPPUDRAFT_347699;DAPPUDRAFT_69104
Dapma7bEVm000325	DAPPUDRAFT_221461;DAPPUDRAFT_308845
Dapma7bEVm000326	DAPPUDRAFT_314522
Dapma7bEVm000327	DAPPUDRAFT_256895
Dapma7bEVm000328	DAPPUDRAFT_130340;DAPPUDRAFT_194294;DAPPUDRAFT_224487;DAPPUDRAFT_303899;DAPPUDRAFT_304390;DAPPUDRAFT_304918;DAPPUDRAFT_35749;DAPPUDRAFT_59834;DAPPUDRAFT_93775
Dapma7bEVm000329	DAPPUDRAFT_189558
Dapma7bEVm000330	
Dapma7bEVm000331	DAPPUDRAFT_24681;DAPPUDRAFT_25199;DAPPUDRAFT_25210
Dapma7bEVm000332	DAPPUDRAFT_305208
Dapma7bEVm000333	DAPPUDRAFT_307337
Dapma7bEVm000334	DAPPUDRAFT_304698;DAPPUDRAFT_304771;DAPPUDRAFT_311096;DAPPUDRAFT_311099;DAPPUDRAFT_51998;DAPPUDRAFT_64920
Dapma7bEVm000335	
Dapma7bEVm000336	
Dapma7bEVm000337	DAPPUDRAFT_307895
Dapma7bEVm000338	DAPPUDRAFT_313559
Dapma7bEVm000339	DAPPUDRAFT_196480
Dapma7bEVm000340	DAPPUDRAFT_41019
Dapma7bEVm000341	DAPPUDRAFT_347004
Dapma7bEVm000342	DAPPUDRAFT_237406;DAPPUDRAFT_248813;DAPPUDRAFT_263601;DAPPUDRAFT_267643;DAPPUDRAFT_308138
Dapma7bEVm000343	DAPPUDRAFT_213992;DAPPUDRAFT_260714;DAPPUDRAFT_299677;DAPPUDRAFT_307854;DAPPUDRAFT_308059;DAPPUDRAFT_308675;DAPPUDRAFT_308693;DAPPUDRAFT_314523;DAPPUDRAFT_323929;DAPPUDRAFT_329848;DAPPUDRAFT_332233
Dapma7bEVm000344	DAPPUDRAFT_254414
Dapma7bEVm000345	DAPPUDRAFT_195897;DAPPUDRAFT_39825;DAPPUDRAFT_49453;DAPPUDRAFT_62171
Dapma7bEVm000346	DAPPUDRAFT_233822;DAPPUDRAFT_233825
Dapma7bEVm000347	DAPPUDRAFT_53919
Dapma7bEVm000348	DAPPUDRAFT_305891;DAPPUDRAFT_97999
Dapma7bEVm000349	
Dapma7bEVm000350	DAPPUDRAFT_41708
Dapma7bEVm000351	DAPPUDRAFT_347288
Dapma7bEVm000352	
Dapma7bEVm000354	DAPPUDRAFT_96728
Dapma7bEVm000355	DAPPUDRAFT_232248
Dapma7bEVm000356	DAPPUDRAFT_103010;DAPPUDRAFT_235857;DAPPUDRAFT_236054;DAPPUDRAFT_243157;DAPPUDRAFT_309208;DAPPUDRAFT_313767;DAPPUDRAFT_318263;DAPPUDRAFT_97364
Dapma7bEVm000357	DAPPUDRAFT_222984
Dapma7bEVm000358	
Dapma7bEVm000359	DAPPUDRAFT_312181
Dapma7bEVm000360	DAPPUDRAFT_191054
Dapma7bEVm000361	
Dapma7bEVm000362	DAPPUDRAFT_44589
Dapma7bEVm000363	DAPPUDRAFT_44172
Dapma7bEVm000364	DAPPUDRAFT_232260
Dapma7bEVm000365	DAPPUDRAFT_310739;DAPPUDRAFT_310741;DAPPUDRAFT_310742;DAPPUDRAFT_310743
Dapma7bEVm000366	DAPPUDRAFT_317276
Dapma7bEVm000367	DAPPUDRAFT_126713;DAPPUDRAFT_306271
Dapma7bEVm000368	DAPPUDRAFT_41889
Dapma7bEVm000369	DAPPUDRAFT_306567;DAPPUDRAFT_312136;DAPPUDRAFT_312137
Dapma7bEVm000370	DAPPUDRAFT_224067;DAPPUDRAFT_301956;DAPPUDRAFT_317231;DAPPUDRAFT_317232
Dapma7bEVm000371	DAPPUDRAFT_95209
Dapma7bEVm000372	DAPPUDRAFT_308944
