Dapma7bEVm000001	ENSG00000171587;ENSG00000177103
Dapma7bEVm000152	ENSG00000107099;ENSG00000116641;ENSG00000130158;ENSG00000183784
Dapma7bEVm000153	ENSG00000100852;ENSG00000160007
Dapma7bEVm000154	ENSG00000070985;ENSG00000083067;ENSG00000092439;ENSG00000119121;ENSG00000130529;ENSG00000134160;ENSG00000142185;ENSG00000144481;ENSG00000274965
Dapma7bEVm000155	ENSG00000070985;ENSG00000083067;ENSG00000092439;ENSG00000119121;ENSG00000130529;ENSG00000134160;ENSG00000142185;ENSG00000144481;ENSG00000274965
Dapma7bEVm000156	
Dapma7bEVm000157	ENSG00000153930
Dapma7bEVm000158	ENSG00000005801;ENSG00000006194;ENSG00000010539;ENSG00000011590;ENSG00000018869;ENSG00000019485;ENSG00000062370;ENSG00000063587;ENSG00000066422;ENSG00000066827;ENSG00000075407;ENSG00000081386;ENSG00000081665;ENSG00000083812;ENSG00000083814;ENSG00000083817;ENSG00000083828;ENSG00000083838;ENSG00000083844;ENSG00000085274;ENSG00000085644;ENSG00000088876;ENSG00000089335;ENSG00000090612;ENSG00000096654;ENSG00000099326;ENSG00000100105;ENSG00000102870;ENSG00000103199;ENSG00000103343;ENSG00000103495;ENSG00000105136;ENSG00000105497;ENSG00000105708;ENSG00000105732;ENSG00000105750;ENSG00000106261;ENSG00000109906;ENSG00000112365;ENSG00000115568;ENSG00000116809;ENSG00000117010;ENSG00000118620;ENSG00000120784;ENSG00000121406;ENSG00000121413;ENSG00000121417;ENSG00000121903;ENSG00000122386;ENSG00000124459;ENSG00000124613;ENSG00000125812;ENSG00000125846;ENSG00000125945;ENSG00000126856;ENSG00000127081;ENSG00000127903;ENSG00000128000;ENSG00000130182;ENSG00000130544;ENSG00000130684;ENSG00000130803;ENSG00000130818;ENSG00000130844;ENSG00000130856;ENSG00000131061;ENSG00000131115;ENSG00000131127;ENSG00000131845;ENSG00000131849;ENSG00000132010;ENSG00000136866;ENSG00000136870;ENSG00000137185;ENSG00000138738;ENSG00000140265;ENSG00000140987;ENSG00000141040;ENSG00000141946;ENSG00000141956;ENSG00000142065;ENSG00000142409;ENSG00000142528;ENSG00000142556;ENSG00000143067;ENSG00000144026;ENSG00000144792;ENSG00000145908;ENSG00000146587;ENSG00000146757;ENSG00000147117;ENSG00000147118;ENSG00000147124;ENSG00000147789;ENSG00000149050;ENSG00000149054;ENSG00000152433;ENSG00000152439;ENSG00000152443;ENSG00000152454;ENSG00000152467;ENSG00000152475;ENSG00000152926;ENSG00000153896;ENSG00000154957;ENSG00000155592;ENSG00000156853;ENSG00000157429;ENSG00000158691;ENSG00000159882;ENSG00000159885;ENSG00000159905;ENSG00000159915;ENSG00000159917;ENSG00000160321;ENSG00000160336;ENSG00000160908;ENSG00000160961;ENSG00000161298;ENSG00000161551;ENSG00000162714;ENSG00000164011;ENSG00000164048;ENSG00000164256;ENSG00000164631;ENSG00000165512;ENSG00000166188;ENSG00000166261;ENSG00000166526;ENSG00000166529;ENSG00000166704;ENSG00000167232;ENSG00000167377;ENSG00000167380;ENSG00000167384;ENSG00000167394;ENSG00000167395;ENSG00000167528;ENSG00000167554;ENSG00000167555;ENSG00000167562;ENSG00000167625;ENSG00000167635;ENSG00000167637;ENSG00000167766;ENSG00000167785;ENSG00000167840;ENSG00000167967;ENSG00000167981;ENSG00000168661;ENSG00000168826;ENSG00000169131;ENSG00000169260;ENSG00000169740;ENSG00000169951;ENSG00000169955;ENSG00000169957;ENSG00000169981;ENSG00000170100;ENSG00000170260;ENSG00000170265;ENSG00000170619;ENSG00000170631;ENSG00000170684;ENSG00000170949;ENSG00000170954;ENSG00000171161;ENSG00000171291;ENSG00000171295;ENSG00000171466;ENSG00000171469;ENSG00000171574;ENSG00000171606;ENSG00000171649;ENSG00000171817;ENSG00000171827;ENSG00000171970;ENSG00000172000;ENSG00000172006;ENSG00000172466;ENSG00000172748;ENSG00000172888;ENSG00000173041;ENSG00000173258;ENSG00000173275;ENSG00000173480;ENSG00000173875;ENSG00000174255;ENSG00000174586;ENSG00000174652;ENSG00000175213;ENSG00000175322;ENSG00000175395;ENSG00000175691;ENSG00000175787;ENSG00000176024;ENSG00000176222;ENSG00000176293;ENSG00000177599;ENSG00000177842;ENSG00000177873;ENSG00000177888;ENSG00000177932;ENSG00000178150;ENSG00000178187;ENSG00000178229;ENSG00000178338;ENSG00000178386;ENSG00000178665;ENSG00000178917;ENSG00000178935;ENSG00000179195;ENSG00000179909;ENSG00000179922;ENSG00000179930;ENSG00000179943;ENSG00000179965;ENSG00000180035;ENSG00000180257;ENSG00000180479;ENSG00000180626;ENSG00000180787;ENSG00000180855;ENSG00000180884;ENSG00000180938;ENSG00000181007;ENSG00000181135;ENSG00000181220;ENSG00000181315;ENSG00000181444;ENSG00000181450;ENSG00000181638;ENSG00000181666;ENSG00000181894;ENSG00000181896;ENSG00000182111;ENSG00000182141;ENSG00000182318;ENSG00000182903;ENSG00000182983;ENSG00000182986;ENSG00000183309;ENSG00000183647;ENSG00000183850;ENSG00000184517;ENSG00000184635;ENSG00000184677;ENSG00000184939;ENSG00000185177;ENSG00000185219;ENSG00000185252;ENSG00000185730;ENSG00000185869;ENSG00000185947;ENSG00000186017;ENSG00000186020;ENSG00000186026;ENSG00000186230;ENSG00000186272;ENSG00000186300;ENSG00000186446;ENSG00000186448;ENSG00000186496;ENSG00000186777;ENSG00000186812;ENSG00000186814;ENSG00000187187;ENSG00000187607;ENSG00000187792;ENSG00000187801;ENSG00000187815;ENSG00000187987;ENSG00000188033;ENSG00000188171;ENSG00000188227;ENSG00000188283;ENSG00000188295;ENSG00000188321;ENSG00000188629;ENSG00000188785;ENSG00000188868;ENSG00000189042;ENSG00000189144;ENSG00000189164;ENSG00000189180;ENSG00000189190;ENSG00000189420;ENSG00000196081;ENSG00000196110;ENSG00000196150;ENSG00000196152;ENSG00000196172;ENSG00000196214;ENSG00000196247;ENSG00000196263;ENSG00000196267;ENSG00000196268;ENSG00000196345;ENSG00000196350;ENSG00000196357;ENSG00000196378;ENSG00000196381;ENSG00000196387;ENSG00000196391;ENSG00000196417;ENSG00000196418;ENSG00000196437;ENSG00000196453;ENSG00000196456;ENSG00000196458;ENSG00000196466;ENSG00000196597;ENSG00000196605;ENSG00000196646;ENSG00000196652;ENSG00000196653;ENSG00000196670;ENSG00000196693;ENSG00000196705;ENSG00000196724;ENSG00000196757;ENSG00000196793;ENSG00000196812;ENSG00000196867;ENSG00000196946;ENSG00000196967;ENSG00000197008;ENSG00000197013;ENSG00000197016;ENSG00000197020;ENSG00000197024;ENSG00000197037;ENSG00000197044;ENSG00000197054;ENSG00000197062;ENSG00000197123;ENSG00000197124;ENSG00000197128;ENSG00000197134;ENSG00000197162;ENSG00000197279;ENSG00000197343;ENSG00000197360;ENSG00000197362;ENSG00000197363;ENSG00000197372;ENSG00000197385;ENSG00000197472;ENSG00000197483;ENSG00000197497;ENSG00000197566;ENSG00000197608;ENSG00000197619;ENSG00000197647;ENSG00000197714;ENSG00000197779;ENSG00000197782;ENSG00000197808;ENSG00000197841;ENSG00000197857;ENSG00000197863;ENSG00000197928;ENSG00000197933;ENSG00000197935;ENSG00000197937;ENSG00000197951;ENSG00000197961;ENSG00000198026;ENSG00000198028;ENSG00000198039;ENSG00000198040;ENSG00000198046;ENSG00000198093;ENSG00000198105;ENSG00000198131;ENSG00000198146;ENSG00000198169;ENSG00000198182;ENSG00000198185;ENSG00000198298;ENSG00000198300;ENSG00000198315;ENSG00000198342;ENSG00000198346;ENSG00000198393;ENSG00000198429;ENSG00000198440;ENSG00000198453;ENSG00000198464;ENSG00000198466;ENSG00000198482;ENSG00000198521;ENSG00000198538;ENSG00000198551;ENSG00000198556;ENSG00000198633;ENSG00000198816;ENSG00000198939;ENSG00000203326;ENSG00000204514;ENSG00000204519;ENSG00000204524;ENSG00000204604;ENSG00000204611;ENSG00000204644;ENSG00000204859;ENSG00000204920;ENSG00000204946;ENSG00000204947;ENSG00000205903;ENSG00000206510;ENSG00000213020;ENSG00000213096;ENSG00000213762;ENSG00000213793;ENSG00000213799;ENSG00000213967;ENSG00000213973;ENSG00000213988;ENSG00000214022;ENSG00000214029;ENSG00000214189;ENSG00000214534;ENSG00000214652;ENSG00000215343;ENSG00000215356;ENSG00000215372;ENSG00000215421;ENSG00000218891;ENSG00000221923;ENSG00000221994;ENSG00000223547;ENSG00000223614;ENSG00000223687;ENSG00000223852;ENSG00000223858;ENSG00000225351;ENSG00000226858;ENSG00000227124;ENSG00000227858;ENSG00000228623;ENSG00000229676;ENSG00000229809;ENSG00000232099;ENSG00000233831;ENSG00000234284;ENSG00000234444;ENSG00000234669;ENSG00000235109;ENSG00000235178;ENSG00000235589;ENSG00000236609;ENSG00000237440;ENSG00000242852;ENSG00000245680;ENSG00000249459;ENSG00000249471;ENSG00000249709;ENSG00000250312;ENSG00000250571;ENSG00000251192;ENSG00000251247;ENSG00000251369;ENSG00000254004;ENSG00000256087;ENSG00000256223;ENSG00000256229;ENSG00000256294;ENSG00000256683;ENSG00000256771;ENSG00000257446;ENSG00000257591;ENSG00000258405;ENSG00000261221;ENSG00000261459;ENSG00000263002;ENSG00000264668;ENSG00000267041;ENSG00000267508;ENSG00000267680;ENSG00000269067;ENSG00000269343;ENSG00000269699;ENSG00000270011;ENSG00000272602;ENSG00000274195;ENSG00000274349;ENSG00000274352;ENSG00000274746;ENSG00000275111;ENSG00000276340;ENSG00000277462;ENSG00000278062;ENSG00000278091;ENSG00000278129;ENSG00000278318;ENSG00000278780;ENSG00000279566;ENSG00000280568;ENSG00000280661;ENSG00000281306;ENSG00000281448;ENSG00000281526;ENSG00000281601;ENSG00000281626;ENSG00000281661;ENSG00000281709;ENSG00000281894;ENSG00000283009;ENSG00000283034
Dapma7bEVm000159	ENSG00000102010;ENSG00000130234;ENSG00000159640
Dapma7bEVm000160	ENSG00000101342;ENSG00000111912;ENSG00000164830
Dapma7bEVm000161	
Dapma7bEVm000162	
Dapma7bEVm000163	
Dapma7bEVm000164	
Dapma7bEVm000165	ENSG00000198363
Dapma7bEVm000166	
Dapma7bEVm000167	ENSG00000163820;ENSG00000188282
Dapma7bEVm000168	ENSG00000029153;ENSG00000133794;ENSG00000143437;ENSG00000172379
Dapma7bEVm000169	ENSG00000205356
Dapma7bEVm000170	ENSG00000058272;ENSG00000077157;ENSG00000125503
Dapma7bEVm000171	ENSG00000101577;ENSG00000132793;ENSG00000134324
Dapma7bEVm000172	ENSG00000099204;ENSG00000163995;ENSG00000173210
Dapma7bEVm000173	
Dapma7bEVm000174	ENSG00000072657;ENSG00000138792;ENSG00000141279;ENSG00000166825;ENSG00000172901
Dapma7bEVm000175	ENSG00000065675;ENSG00000163932
Dapma7bEVm000176	ENSG00000115993;ENSG00000182606
Dapma7bEVm000177	ENSG00000079805;ENSG00000087470;ENSG00000106976;ENSG00000197959
Dapma7bEVm000178	ENSG00000162782
Dapma7bEVm000179	ENSG00000164066
Dapma7bEVm000180	ENSG00000116337;ENSG00000116748;ENSG00000133805
Dapma7bEVm000181	ENSG00000006747;ENSG00000042493;ENSG00000127831;ENSG00000135407;ENSG00000136059;ENSG00000148180;ENSG00000177731;ENSG00000284571
Dapma7bEVm000182	ENSG00000073584
Dapma7bEVm000183	ENSG00000088386;ENSG00000163406
Dapma7bEVm000184	ENSG00000167615;ENSG00000274305;ENSG00000276458;ENSG00000276681
Dapma7bEVm000185	ENSG00000065609;ENSG00000073921
Dapma7bEVm000186	
Dapma7bEVm000187	ENSG00000079215;ENSG00000105143;ENSG00000105281;ENSG00000106688;ENSG00000110436;ENSG00000115902;ENSG00000162383
Dapma7bEVm000188	ENSG00000118777;ENSG00000138075;ENSG00000143921
Dapma7bEVm000190	ENSG00000049860;ENSG00000213614
Dapma7bEVm000191	ENSG00000088325
Dapma7bEVm000192	ENSG00000072415;ENSG00000082126;ENSG00000150054;ENSG00000161647
Dapma7bEVm000193	ENSG00000137860;ENSG00000156222;ENSG00000197506
Dapma7bEVm000194	ENSG00000135318
Dapma7bEVm000195	ENSG00000183044
Dapma7bEVm000196	ENSG00000136856;ENSG00000146411;ENSG00000151229;ENSG00000160326;ENSG00000197496;ENSG00000281165
Dapma7bEVm000197	
Dapma7bEVm000198	
Dapma7bEVm000200	
Dapma7bEVm000201	ENSG00000142615;ENSG00000215704
Dapma7bEVm000202	ENSG00000138668;ENSG00000152795;ENSG00000197451
Dapma7bEVm000203	
Dapma7bEVm000204	
Dapma7bEVm000205	ENSG00000083857;ENSG00000086570;ENSG00000165323;ENSG00000282908
Dapma7bEVm000206	ENSG00000076555;ENSG00000275176;ENSG00000278540
Dapma7bEVm000207	ENSG00000134917;ENSG00000154734;ENSG00000154736;ENSG00000158859;ENSG00000163638;ENSG00000166106;ENSG00000173157
Dapma7bEVm000208	
Dapma7bEVm000209	
Dapma7bEVm000210	ENSG00000080854;ENSG00000085552
Dapma7bEVm000211	ENSG00000074054;ENSG00000163539
Dapma7bEVm000212	ENSG00000166783;ENSG00000277140
Dapma7bEVm000213	ENSG00000109756;ENSG00000158987
Dapma7bEVm000214	ENSG00000089820;ENSG00000196220;ENSG00000196935;ENSG00000266028
Dapma7bEVm000215	
Dapma7bEVm000216	ENSG00000115677
Dapma7bEVm000217	ENSG00000071794;ENSG00000116830
Dapma7bEVm000218	ENSG00000108055;ENSG00000136824
Dapma7bEVm000219	
Dapma7bEVm000220	ENSG00000064651;ENSG00000070915;ENSG00000074803
Dapma7bEVm000221	ENSG00000096171;ENSG00000137411;ENSG00000204394;ENSG00000206476;ENSG00000223494;ENSG00000224264;ENSG00000226589;ENSG00000227686;ENSG00000231116;ENSG00000231945;ENSG00000234032;ENSG00000285192;ENSG00000285213;ENSG00000285224;ENSG00000285515
Dapma7bEVm000222	
